,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
10842,21,393,3143,SUB-DISTRICT,Tushura,Total,245,6,1,47278,185028,92953,92075,850.7840620840742,217.479391359021
10843,21,393,3143,SUB-DISTRICT,Tushura,Rural,245,6,0,46078,180205,90478,89727,846.7240620840743,212.82612372731506
10844,21,393,3143,SUB-DISTRICT,Tushura,Urban,0,0,1,1200,4823,2475,2348,4.06,1187.9310344827588
10845,21,393,3144,SUB-DISTRICT,Patnagarh,Total,190,0,1,42725,168325,84647,83678,771.0543473605226,218.3049749686401
10846,21,393,3144,SUB-DISTRICT,Patnagarh,Rural,190,0,0,37690,147301,73953,73348,752.7943473605226,195.6722981734289
10847,21,393,3144,SUB-DISTRICT,Patnagarh,Urban,0,0,1,5035,21024,10694,10330,18.26,1151.3691128148957
10848,21,393,3145,SUB-DISTRICT,Khaprakhol ,Total,120,1,0,23398,89819,44393,45426,565.8056128851106,158.74533223875628
10849,21,393,3145,SUB-DISTRICT,Khaprakhol ,Rural,120,1,0,23398,89819,44393,45426,565.8056128851106,158.74533223875628
10850,21,393,3145,SUB-DISTRICT,Khaprakhol ,Urban,0,0,0,0,0,0,0,0.0,0.0
10851,21,393,3146,SUB-DISTRICT,Turekela ,Total,72,3,0,13925,52422,25994,26428,389.52200370892695,134.58033050983354
10852,21,393,3146,SUB-DISTRICT,Turekela ,Rural,72,3,0,13925,52422,25994,26428,389.52200370892695,134.58033050983354
10853,21,393,3146,SUB-DISTRICT,Turekela ,Urban,0,0,0,0,0,0,0,0.0,0.0
10854,21,393,3147,SUB-DISTRICT,Belpara ,Total,105,1,0,28626,116136,58087,58049,529.4349280027159,219.3584024350661
10855,21,393,3147,SUB-DISTRICT,Belpara ,Rural,105,1,0,28626,116136,58087,58049,529.4349280027159,219.3584024350661
10856,21,393,3147,SUB-DISTRICT,Belpara ,Urban,0,0,0,0,0,0,0,0.0,0.0
10857,21,393,3148,SUB-DISTRICT,Saintala,Total,182,7,1,39836,148991,75090,73901,858.4086593450523,173.56651564265087
10858,21,393,3148,SUB-DISTRICT,Saintala,Rural,182,7,0,38484,143560,72077,71483,851.3886593450524,168.61864252506768
10859,21,393,3148,SUB-DISTRICT,Saintala,Urban,0,0,1,1352,5431,3013,2418,7.02,773.6467236467237
10860,21,393,3149,SUB-DISTRICT,Kantabanji,Total,56,0,1,17363,72115,36286,35829,186.59924076456562,386.46995402831413
10861,21,393,3149,SUB-DISTRICT,Kantabanji,Rural,56,0,0,12476,50296,25028,25268,178.8292407645656,281.25154356728655
10862,21,393,3149,SUB-DISTRICT,Kantabanji,Urban,0,0,1,4887,21819,11258,10561,7.77,2808.1081081081084
10863,21,393,3150,SUB-DISTRICT,Bangomunda,Total,91,0,1,18114,74579,37639,36940,193.31639621746558,385.78724546522454
10864,21,393,3150,SUB-DISTRICT,Bangomunda,Rural,91,0,0,16727,68820,34837,33983,182.29639621746557,377.5170624761174
10865,21,393,3150,SUB-DISTRICT,Bangomunda,Urban,0,0,1,1387,5759,2802,2957,11.02,522.595281306715
10866,21,393,3151,SUB-DISTRICT,Sindhekela ,Total,106,1,0,24337,98777,49620,49157,289.0254310556799,341.7588536732288
10867,21,393,3151,SUB-DISTRICT,Sindhekela ,Rural,106,1,0,24337,98777,49620,49157,289.0254310556799,341.7588536732288
10868,21,393,3151,SUB-DISTRICT,Sindhekela ,Urban,0,0,0,0,0,0,0,0.0,0.0
10869,21,393,3152,SUB-DISTRICT,Titlagarh ,Total,148,3,1,41736,162859,81746,81113,511.50512951896576,318.3917239562335
10870,21,393,3152,SUB-DISTRICT,Titlagarh ,Rural,148,3,0,33656,128792,64341,64451,496.1651295189658,259.5748720287224
10871,21,393,3152,SUB-DISTRICT,Titlagarh ,Urban,0,0,1,8080,34067,17405,16662,15.34,2220.7953063885266
10872,21,394,0,DISTRICT,Nuapada,Total,656,12,2,152210,610382,301962,308420,3852.0,158.45846313603323
10873,21,394,0,DISTRICT,Nuapada,Rural,656,12,0,144299,576328,284792,291536,3816.77,150.99888125299665
10874,21,394,0,DISTRICT,Nuapada,Urban,0,0,2,7911,34054,17170,16884,35.23,966.6193585012774
10875,21,394,3153,SUB-DISTRICT,Jonk,Total,70,1,1,18297,75537,37368,38169,345.6205844857913,218.55469086826156
10876,21,394,3153,SUB-DISTRICT,Jonk,Rural,70,1,0,13975,56570,27842,28728,334.22058448579133,169.25947301251563
10877,21,394,3153,SUB-DISTRICT,Jonk,Urban,0,0,1,4322,18967,9526,9441,11.4,1663.7719298245613
10878,21,394,3154,SUB-DISTRICT,Nuapada,Total,116,2,0,23501,99624,49141,50483,658.9904306992206,151.1767020566507
10879,21,394,3154,SUB-DISTRICT,Nuapada,Rural,116,2,0,23501,99624,49141,50483,658.9904306992206,151.1767020566507
10880,21,394,3154,SUB-DISTRICT,Nuapada,Urban,0,0,0,0,0,0,0,0.0,0.0
10881,21,394,3155,SUB-DISTRICT,Komna,Total,154,4,0,31337,127206,62655,64551,1124.6318320450548,113.10901610235045
10882,21,394,3155,SUB-DISTRICT,Komna,Rural,154,4,0,31337,127206,62655,64551,1124.6318320450548,113.10901610235045
10883,21,394,3155,SUB-DISTRICT,Komna,Urban,0,0,0,0,0,0,0,0.0,0.0
10884,21,394,3156,SUB-DISTRICT,Khariar,Total,117,2,1,31793,126837,63285,63552,425.5066888282852,298.0846208299808
10885,21,394,3156,SUB-DISTRICT,Khariar,Rural,117,2,0,28204,111750,55641,56109,401.6766888282852,278.20882592410675
10886,21,394,3156,SUB-DISTRICT,Khariar,Urban,0,0,1,3589,15087,7644,7443,23.83,633.1095258078053
10887,21,394,3157,SUB-DISTRICT,Boden,Total,78,1,0,20129,76670,37579,39091,555.2970033403799,138.0702570674664
10888,21,394,3157,SUB-DISTRICT,Boden,Rural,78,1,0,20129,76670,37579,39091,555.2970033403799,138.0702570674664
10889,21,394,3157,SUB-DISTRICT,Boden,Urban,0,0,0,0,0,0,0,0.0,0.0
10890,21,394,3158,SUB-DISTRICT,Sinapali,Total,121,2,0,27153,104508,51934,52574,741.9534606012684,140.85519584383127
10891,21,394,3158,SUB-DISTRICT,Sinapali,Rural,121,2,0,27153,104508,51934,52574,741.9534606012684,140.85519584383127
10892,21,394,3158,SUB-DISTRICT,Sinapali,Urban,0,0,0,0,0,0,0,0.0,0.0
10893,21,395,0,DISTRICT,Kalahandi,Total,2116,137,5,401251,1576869,787101,789768,7920.0,199.0996212121212
10894,21,395,0,DISTRICT,Kalahandi,Rural,2116,137,0,373304,1454882,724646,730236,7865.31,184.97452738671456
10895,21,395,0,DISTRICT,Kalahandi,Urban,0,0,5,27947,121987,62455,59532,54.69,2230.5174620588773
10896,21,395,3159,SUB-DISTRICT,Kesinga,Total,121,6,1,36947,141365,71241,70124,506.3078585320176,279.207595967149
10897,21,395,3159,SUB-DISTRICT,Kesinga,Rural,121,6,0,32676,122126,61397,60729,491.8078585320176,248.32055421914202
10898,21,395,3159,SUB-DISTRICT,Kesinga,Urban,0,0,1,4271,19239,9844,9395,14.5,1326.8275862068965
10899,21,395,3160,SUB-DISTRICT,Madanpur Rampur ,Total,288,22,1,37014,137942,69050,68892,1112.543398400922,123.98797224294032
10900,21,395,3160,SUB-DISTRICT,Madanpur Rampur ,Rural,288,22,0,35019,130050,65016,65034,1105.533398400922,117.63552343882907
