,District Code,Age Group,Total Persons
1133,317,55-59,32911
1134,317,60-64,31100
1135,317,65-69,20627
1136,317,70-74,16041
1137,317,75-79,7763
1138,317,80+,10697
1139,317,Age not stated,478
1140,318,All ages,659296
1141,318,0-4,77348
1142,318,5-9,83223
1143,318,10-14,78267
1144,318,15-19,68236
1145,318,20-24,58960
1146,318,25-29,53887
1147,318,30-34,45447
1148,318,35-39,44788
1149,318,40-44,36706
1150,318,45-49,29302
1151,318,50-54,23663
1152,318,55-59,16188
1153,318,60-64,16609
1154,318,65-69,10416
1155,318,70-74,8172
1156,318,75-79,3283
1157,318,80+,4510
1158,318,Age not stated,291
1159,319,All ages,738804
1160,319,0-4,81161
1161,319,5-9,87468
1162,319,10-14,84618
1163,319,15-19,70896
1164,319,20-24,69865
1165,319,25-29,64788
1166,319,30-34,52115
1167,319,35-39,51099
1168,319,40-44,43359
1169,319,45-49,38276
1170,319,50-54,28436
1171,319,55-59,19917
1172,319,60-64,16467
1173,319,65-69,11207
1174,319,70-74,8912
1175,319,75-79,4503
1176,319,80+,5497
1177,319,Age not stated,220
1178,320,All ages,482162
1179,320,0-4,50070
1180,320,5-9,57724
1181,320,10-14,57354
1182,320,15-19,49625
1183,320,20-24,43470
1184,320,25-29,43275
1185,320,30-34,35035
1186,320,35-39,35354
1187,320,40-44,27874
1188,320,45-49,23981
1189,320,50-54,16818
1190,320,55-59,12339
1191,320,60-64,10696
1192,320,65-69,6954
1193,320,70-74,5368
1194,320,75-79,2616
1195,320,80+,3491
1196,320,Age not stated,118
1197,321,All ages,1517542
1198,321,0-4,138330
1199,321,5-9,156992
1200,321,10-14,164088
1201,321,15-19,148648
1202,321,20-24,144435
1203,321,25-29,143282
1204,321,30-34,117381
1205,321,35-39,116523
1206,321,40-44,92738
1207,321,45-49,81590
1208,321,50-54,59764
1209,321,55-59,43839
1210,321,60-64,40740
1211,321,65-69,27408
1212,321,70-74,20220
1213,321,75-79,9350
1214,321,80+,11419
1215,321,Age not stated,795
1216,322,All ages,1253938
1217,322,0-4,86740
1218,322,5-9,97775
1219,322,10-14,109683
1220,322,15-19,112387
1221,322,20-24,124612
1222,322,25-29,128256
1223,322,30-34,113804
1224,322,35-39,113605
1225,322,40-44,93183
1226,322,45-49,80908
1227,322,50-54,60329
1228,322,55-59,42962
1229,322,60-64,34798
1230,322,65-69,21381
1231,322,70-74,14992
1232,322,75-79,7890
1233,322,80+,8556
1234,322,Age not stated,2077
1235,323,All ages,771639
1236,323,0-4,65510
1237,323,5-9,74999
1238,323,10-14,81286
1239,323,15-19,74719
1240,323,20-24,73124
1241,323,25-29,72423
1242,323,30-34,61165
